username,date,hms,post_num,num_likes
Houta,"Jan 14, 2019",3:21 AM,9611855,
JohnAAG,"Jan 14, 2019",3:34 AM,9611868,
Houta,"Jan 14, 2019",3:36 AM,9611871,
Houta,"Jan 14, 2019",3:38 AM,9611874,
JohnAAG,"Jan 14, 2019",3:57 AM,9611883,
Houta,"Jan 14, 2019",4:16 AM,9611896,
upr_crust,"Jan 14, 2019",4:42 AM,9611920,22.0
txm22,"Jan 14, 2019",5:11 AM,9611932,19.0
themanfromLisbon,"Jan 14, 2019",6:12 AM,9611982,
Caustic Man,"Jan 14, 2019",6:14 AM,9611985,
themanfromLisbon,"Jan 14, 2019",6:18 AM,9611987,
Caustic Man,"Jan 14, 2019",6:26 AM,9611994,
Roy Al,"Jan 14, 2019",6:28 AM,9611996,34.0
themanfromLisbon,"Jan 14, 2019",6:33 AM,9611997,
Roy Al,"Jan 14, 2019",6:37 AM,9611999,
Luigi_M,"Jan 14, 2019",6:43 AM,9612004,
colHolm,"Jan 14, 2019",7:14 AM,9612029,20.0
Roy Al,"Jan 14, 2019",7:21 AM,9612040,
themanfromLisbon,"Jan 14, 2019",7:30 AM,9612049,
Kappelan,"Jan 14, 2019",10:40 AM,9612337,7.0
themanfromLisbon,"Jan 14, 2019",10:50 AM,9612348,17.0
sugarbutch,"Jan 14, 2019",10:59 AM,9612370,
An Acute Style,"Jan 14, 2019",11:15 AM,9612387,
Houta,"Jan 14, 2019",11:23 AM,9612399,
Houta,"Jan 14, 2019",11:28 AM,9612411,
Houta,"Jan 14, 2019",11:34 AM,9612421,
themanfromLisbon,"Jan 14, 2019",12:02 PM,9612470,
Michael81,"Jan 14, 2019",12:17 PM,9612495,
madhat,"Jan 14, 2019",1:12 PM,9612590,
